channelId,title,description,publishedAt,subscriberCount,viewCount,videoCount,topic
UCsQoiOrh7jzKmE8NBofhTnQ,Varun Mayya,"Science and business follow the same principles and are practically the same thing - you experiment, you observe, you make conclusions, and you repeat. 
I help entrepreneurs build software, content, small companies, and freelancing careers with actionable advice. I try my best to distill new developments in technology for the masses. Most importantly, I practice what I preach. I failed countless times on countless projects with a few small wins, and I have come to realise that this is the norm :)

Collabs: teamvarunmayya@gmail.com",2013-10-06T14:21:38Z,996000,347637816,1031,tech influencer
UCggXQcy57bwxUeZI1LB8DCw,Tech Is The New Black,"We are the #1 tech business and tech career video podcast in the world. We interview founders and tech influencers so they can share their story and our audience can be educated and inspired! 

As we stated, we’re the #1 video podcast in our niche and this is both in community size (300k+) and in the service that we provide (PodAAS or PMAAAS - Podcast Marketing As A Service). 

This is where we encompass industry standard content, immediate social proof for your business/brand & dfy marketing services. 

Whether you're brand new to tech, a leader in the industry, a scrappy startup founder or a tech influencer...TITNB is the best platform to watch & especially to feature on! ",2010-03-09T19:56:56Z,160000,11898587,1402,tech influencer
UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,"I talk about life in Silicon Valley and at big tech companies.

Follow me on:
Instagram: http://instagram.com/jomakaze
Twitter: https://twitter.com/jomakaze

Business inquiries: business@joma.io

Facebook: Joma Tech 
Instagram: jomakaze",2016-08-31T22:22:07Z,2350000,193305376,89,tech influencer
UCagoIYmo_gO1iVaCeeSikEg,This Week in Tech,"This Week in Tech is the top-ranked flagship tech podcast from TWiT.tv. Every Sunday, Leo Laporte and a roundtable of insiders explore the week's hottest tech news from AI to robots, and PCs to privacy. When it comes to tech, TWiT is IT.

New episodes every Sunday night on YouTube or get episodes ad-free by joining Club TWiT at https://twit.tv/clubtwit

",2008-10-10T15:23:19Z,62800,4430130,668,tech influencer
UC7kLXheXstAf7tH6fLjN_qA,Flavio Tech,"Dicas e Tutoriais sobre Android e Windows, Analista de Produtos, Analista de Suporte, Formado em Gestão de T. I e Técnico em Manutenção de Computadores, Redes e Celulares.

Siga Flavio Tech nas Redes Sociais
Instagram: https://www.instagram.com/flaviotech82/
twitter: https://twitter.com/FlavioTech82
Facebook: https://www.facebook.com/FlavioFTech
YouTube: https://www.youtube.com/c/flaviofehlauer

Loja Flavio Tech Amazon
https://amzn.to/4j1AWoz

Notebook Dell Inspiron Full HD 12ª Geração Intel Core i7 16GB 512GB SSD Windows 11
https://amzn.to/3Re88gy

DJI Mini 2 SE mini drone, Resolução QHD drone cardam de 3 eixos com EIS 
https://amzn.to/4dsMfU9

Monitor Gaming AOC G2 Series 27 Polegadas de 100hz
https://amzn.to/3zgZxDZ

#flaviotech 
#flaviofehlauer
#camera
#youtuber
#tech4all
#influencer
#mktdigital
#marketing
#dudurocha
#giulliano
#android
#unboxing
#review

https://www.youtube.com/c/flaviofehlauer

",2012-04-13T23:08:30Z,41000,12992206,573,tech influencer
UCQmg6f48mtIOX4DoerGJYWw,My Smart Support ,"I am Dharmendra Kumar, a social media influencer & Blogger who loves to create & publish Tech Videos on this Youtube Channel on  - Blogging, Website Development , SEO, Digital Marketing , Android app development & Video Editing & Video Marketing.

Email for Business Enquiry : d85kumar@gmail.com
Note : I dont provide any tech support via email or phone



",2012-07-26T10:12:01Z,1380000,167923210,1861,tech influencer
UCeoRAN5sr02w8_9aFWxIM4g,Tech Travel Eat by Sujith Bhakthan,"Traveler, Influencer & Food Lover
Contact: admin@techtraveleat.com 
",2016-08-01T16:13:49Z,2290000,802805583,2451,tech influencer
UCFLyvD13JJG7gXrCmbK8uJQ,Craig's Tech Talk,"I make easy to follow tech videos to help you get more out of your tech.

I don't go on about specs and comparisons. Instead I show you what the tech can do and if it's worth your money. I cover Apple devices, the smart home and the latest in tech that I actually want to use.

🛒 Amazon Influencer page: - https://www.amazon.com/shop/craigstechtalk
* Check it out for additional content and the tech that I use

🔴 For all business inquiries please email me through the contact form below.

No other emails will be responded to. If you have a specific tech question you should consider becoming a channel member to connect through the member only Discord and member only community tab.
",2017-08-21T01:56:19Z,176000,30826396,475,tech influencer
UCRfBKh1u3nXzkTmKBWqDo5A,Tech With RR,"Welcome to ""Tech With RR"" where we unbox and review interesting and unique gadgets. The gadgets that you will need in your everyday life. At ""Tech With RR"", we will find them for you and bring them to your notice so that you don't have to search for them.

Want your products to be reviewed by ""Tech With RR""? Contact us to share details and if we think your products align with the channel content we would love to review them. 
",2011-02-04T11:38:54Z,123000,1657228,255,tech influencer
UCLfFh9iUUff6Ft9kBcAAv8g,Robeytech,"Justin Robey (Robeytech) is gamer and tech focused streamer that hosts weekly shows dedicated to building PC's and the latest tech news!  Justin, a  tech-streamer and TechTuber builds custom PCs, and produces how-to-build tutorials, tech information, and tech news videos on YouTube.  Robeytech is dedicated to gamers and fans who want to hang out and talk about games and tech, plus have fun as they journey across the infinite gaming content and learn about building awesome PCs",2022-02-13T20:24:37.476366Z,54300,21258223,986,tech influencer
UCfoxHp6sT0TJg9U5JkKiPJw,influencer Waseem,"Youtuber | Social Media influencer | Video Creator | Digital Creator People Known as Influencer Waseem

Subscribe 😊 For Intresting Fun, Fact, Movies Reviews, Tech Online Earning etc.

For Business and Collab Mail us
influencerwaseem@gmail.com 
",2021-06-23T18:50:37.630578Z,6690,2210794,436,tech influencer
UC9XWJ3iy4FO6_hQbgGFPcfg,Mau Lozano Tech,"Smartphones, Unboxings, AI, Gadgets 
📍California, US
Latino Tech Influencer | US español

📧 soymaulozano@gmail.com 

Bienvenido a mi canal. Soy creador tech en español desde San Diego, California, con más de 7 millones de seguidores en redes.

Aquí comparto reseñas de gadgets, unboxings, apps virales, inteligencia artificial y noticias tecnológicas. Si tienes un smartphone, este canal es para ti: te enseño cómo aprovecharlo al máximo con trucos para iPhone y Android, además de consejos sobre seguridad digital y productividad.

Tecnología explicada fácil, útil y sin rodeos.

#LatinoTechCreator #LatinoTechInfluencer #SmartphoneTips #TechEnEspañol #Gadgets #AITools",2021-10-08T06:36:08.402086Z,555000,237054951,1309,tech influencer
UC3Gef0G_siN5BAAld31CIDw,Harold Sinnott  👉 Tech Ahead,"Harold Sinnott is a technology thought leader, influencer, digital consultant, content creator, speaker, and author. He specializes in emerging technologies, artificial intelligence (AI), 5G, digital transformation, and the future of work.

Harold Sinnott has been recognized among the top ten CES influencers on social media for multiple consecutive years, including CES 2025, CES 2024, CES 2023, CES 2022, and CES 2020, as well as for MWC in the same years.

As the host of Tech Ahead, Harold’s YouTube channel spotlights innovation through executive interviews and thought leadership, reaching a global audience with over 725,000 views and counting. 

Passionate about the intersection of technology and humanity. Sharing tech innovation and fostering goodwill globally.

Helping brands tell their stories. B2B, social media, influencer marketing, content development. 


Media Partner   

Industry Analyst | B2B | 🎤 Speaker | Coach |🎙 Keynotes | Panelist  | Digital Consultant | MWC25 | CES 2026
",2013-09-29T02:21:49Z,16200,726087,67,tech influencer
UCYLnawaM-36HncBBUeWrlGA,Paul Hibbert (Hibbert Home Tech),"I am a home automation hobbyist, musician, and Youtube personality. There I said it, and it sounds terrible. Youtube personality… what a jerk.

If I’ve been helpful to you and you’re feeling generous and would like to support me in my mission to automate the world, then you can become a Patron here :)

If you're looking for home automation advice or want to say hello,  then get in touch through Patreon private message.

Happy automating!
",2011-02-19T22:41:10Z,274000,46853337,567,tech influencer
UC0MYNOsIrz6jmXfIMERyRHQ,Karl Conrad,"Keeping things simple by doing what I love. tech + vlogs. 

For review or business inquiries, check the email below!",2012-10-10T17:25:05Z,982000,259343251,1795,tech influencer
UCMdElTwiU4JrDUkuI_eqPJg,Sandeep Singh,"iTechFever is a tech blog by Sandeep Singh to make tech easier. On this channel, you will get Various tech tips, tricks, reviews, and troubleshooting videos to resolve various computer, OS, and networking problems.

I mostly cover Windows, Mac, and Android along with awesome and cool tech tips.

I simply find the problem with computers, mobile phones, and other tech issues and create a video solution.

All tips and troubleshooting are tested and implemented by myself and verified techniques to troubleshoot the problems, some tips may not work on your system due to different computer configurations.

Disclaimers:-
1. Always create a system restore point and full backup before following any Computer tutorials.
2. Any data including names, emails, etc shown in any videos are for demonstration purposes only and do not belong to any third person or entity.
3. Some videos may contain affiliate links, I may get some commission for your purchase without any extra cost to you.
",2010-04-04T14:18:44Z,238000,110117908,484,tech influencer
UC2fd4raC6fXobex-tWGubMA,Travis MCP,"Are you looking for news on the latest smart phones from Apple, Samsung or even Google?  Looking for the Pixel 4, iPhone 11 or Samsung Galaxy S11?  How about the Galaxy Note 10, or even a Huawei Mate 30?  You are in the right place!

My name is Travis and I talk about phone news and tech in most of my videos.  You will also find reviews of bluetooth headphones and speakers as well.  But my primary focus is Smartphone news and opinions.

The main goal is to create a community of subscribers who want to learn about tech, share the love and passion of gadgets and become one of the 'playas'.  Building my community of playas to take over YouTube!

Hit me up on Social!
Podcast: https://podcasters.spotify.com/pod/show/travis-mcp
Twitter and Instagram -  TravisMcP
Amazon Influencer page:  https://www.amazon.com/shop/travismcp/ref=cm_sw_r_tw_loc_rc3yBbK87SX27

Email is only for business inquiries only.  Nothing else is seen or responded to.


",2007-01-02T00:26:24Z,124000,18532139,485,tech influencer
UCIjNopmW20naT1uOL6vyWZQ,HighTechDad,"For over two decades, I have been producing content about technology in the family environment. As my daughters have grown older, the technology has matured as well. My YouTube channel has a variety of videos produced by me (Michael Sheehan) a.k.a. ""HighTechDad"". Here you can find reviews about products, services, gadgets, software, hardware, and other items. I also produce video How-To's & Fix-Its, car reviews, and more. And the video content here is GROWING! 

To learn more about Michael Sheehan (""HighTechDad""), please head over to my site's About page (http://www.hightechdad.com/about). And be sure to subscribe to my channel!

If you need to contact me about video usage, partnerships, product reviews, influencer programs, or anything similar, please use one of the CONTACT forms on my website: http://www.hightechdad.com/contact-main/",2008-09-29T20:23:41Z,15900,11783913,289,tech influencer
UC4fn1t8clOY76_BeWNJg4TQ,DHIARCOM,"🇮🇩Tech Influencer
Lifestyle Reviews, Tempat Gadget Paling Seru!

DHIARCOM adalah channel yang membahas lifestyle reviews, tempatnya gadget-gadget yang seru-seru, mulai dari smartphone yang baru aja dirilis di global, perangkat elektronik yang unik, gaming, komputer, laptop, tablet, tv, kamera, audio, home appliances dan banyak produk-produk spesial yang ditampilkan disini. 

Team Utama:
1. Dhiar - Chief & Tech Influencer
2. Arbie - Manager
3. Faisal - Video Editor
4. Kevin - Videographer
5. Agus - Teknis
6. Rizki - IT
7. Iwan - Support
8. Andreas - Photographer
9. Dan - Clipper
10. Bella - Talent Model
11. Noreen - Talent Host
12. Seren - Talent Host
13. Natasya - Talent Host
14. Indah - Talent Host
15. Acha - Talent Host

Kontak bisnis: me@dhiar.com

Domisili: 
Markas 1: Central Park, Jakarta Barat
Markas 2: Pantai Indah Kapuk (segera buka)
Markas 3: Melbourne, Australia
",2014-11-25T12:59:31Z,3250000,502048384,2122,tech influencer
UCsBjURrPoezykLs9EqgamOA,Fireship,"High-intensity ⚡ code tutorials and tech news to help you ship your app faster. New videos every week covering the topics every programmer should know. 

The original home of #100SecondsOfCode #TheCodeReport and #CodeThisNotThat. Created by Jeff Delaney. 

Building an app? Get project support, advanced full courses, and more at https://fireship.io",2017-04-07T18:17:23Z,4020000,642238265,767,tech influencer
UCnnoVEXsgW98gt0hxszklZQ,Dragon Blogger Technology and Entertainment,"DragonBlogger is a Technology and Entertainment portal that features videos on everything from technology, video games, social media, Internet, software and includes many product reviews on various gadgets we test and provide feedback on.  We showcase products, games, and are happy to work with brands, stores and more.  If you are interested in having a video showcase, unboxing or video done for your product you can fill out our contact form here https://www.dragonblogger.com/contactus/

Disclosure: As an Amazon Influencer as well as an affiliate for other online stores and platforms, I earn from qualifying purchases. #commissionsearned 

#dragonblogger #unboxing #amazonlive #amazoninfluencer #productreview #influencer
",2008-09-18T17:03:16Z,37100,21928767,8571,tech influencer
UC1hiI8TEoA0db5HhU4gbsUg,MobileReviewsEh,"I'm a reviewer, not an influencer. I've never done a sponsored post. Every product I review, I buy myself, test and give you my honest feedback about it. 

If you have a product that you want us to review, send us a message to on our website: http://www.mobilereviews-eh.ca/about-us/",2012-03-14T18:12:55Z,500000,99627101,1524,tech influencer
UCF5_VMrti--bL65IAftpVAQ,Big Habesha,"✅ Tech tips & tricks — mobile, PC, AI tools, apps, and more

🎬 Tutorials on editing tools

🚀 Social media growth strategies for TikTok, YouTube & Instagram

💼 Tips on becoming a successful digital creator/influencer

📱 Latest updates in tech & digital trends — made simple

💰 Crypto basics & digital money tips for beginners

🎁 Real value — no fluff, just practical content that helps you grow
",2016-01-15T12:34:17Z,196000,4882018,295,tech influencer
UCCneap9DE1plCWwcObu-20Q,Technical Sagar,"My name is Abhishek Sagar and I am a self-taught white hat hacker and a commerce graduate from India, Currently working for some well known international brands. Internet and Ethical Hacking is my passion and i believe in helping people with my abilities and knowledge base. I am learning these things from last 17 years and it feels like learning is a part of my life now. I am running this channel for my community where i teach technical things in my mother tongue ""Hindi"" which makes this experience even more interesting. 

Have a nice stay here!

For Business Enquiries / Brand Collaboration Mail Me At: sagarwebsol@gmail.com

I do not provide tech support over e-mail.

Thank you",2014-12-21T06:41:50Z,3140000,461313301,3436,tech influencer
UC8jSvIo27A8D2pJbosmR1TQ,Cristian Florea,"Salutare, sunt Cristian Florea și sunt pasionat de gadget-uri și tehnologii noi. O să găsești aici informații utile despre smartphone-uri, tablete, PC-uri, dar și despre gadget-uri smart home, prezentate într-o manieră calmă și relaxată. Recent, am fost numit 🥇Best Tech Influencer la Romanian Influencer Awards 2024.
",2011-08-17T09:01:09Z,151000,36583833,1157,tech influencer
UCztSCM_l40EimZUPDitPXVg,Ben Taylor,"Welcome to the Vlogs! I post about tech, home and lifestyle. 
Shop my Amazon favorites & more: https://linktr.ee/bentaylor_nyc",2006-07-08T02:30:44Z,93200,15386450,297,tech influencer
UCw-MAyENxFQmVTOLwlg9YkA,Lakshay Chaudhary,"VIDEO CREATOR.

For Business- sendthosebucks@gmail.com",2014-04-30T01:37:56Z,3350000,680176291,293,tech influencer
UCHpQ4y8AxUUDDWy_N1iiWkA,GSMaholic,"🌐 GSMaholic – Global Tech Product Promotion & Reviews 🌐

GSMaholic is your go-to platform for smartphone reviews, rugged phones, e-bikes, and electric scooters. We deliver professional unboxings, in-depth reviews, and real-world test rides, helping your product reach thousands of engaged tech enthusiasts worldwide.
If you are a brand, manufacturer, or startup, leverage GSMaholic for global exposure, influencer marketing, and product promotion. Our audience spans Europe, the USA, the UK, and beyond, giving your gadgets maximum visibility and credibility. Boost engagement and drive sales with SEO-optimized sponsored content and trusted tech reviews.

📩 Business inquiries & collaborations: ivica.majdan@gmail.com

#TechPromotion #SmartphoneReview #EBikeReview #ElectricScooter #RuggedPhone #ProductMarketing #InfluencerMarketing",2016-05-20T18:45:48Z,356000,21705192,755,tech influencer
UC4950gpY6Qw1lCAcN6gNWwQ,Ebadu Rahman ,"Business Influencer | Digital Content Strategist l Entrepreneur
| ORM Strategist

I am Ebaadu Rahman, I am a social media influencer. Company name is Path Media. I worked with different corporates, SmE’s, MSME’s & start ups & help them to make their brand more visible in the digital space.
My Contact Number 9746029915
Email - ibadurahman@gmail.com
",2016-01-06T08:05:20Z,1210000,158158375,1455,tech influencer
UCR6H7VWfgscnYHpRAMLWbKA,Farming Tech [Mayur Patel],"@FarmingTechMayurPatel 
#FarmingTech
➡️खेतीबाड़ी से जुड़ी जानकारी के लिए  यूट्यूब चैनल।
➡️farming related topics...
➡️Smart farming techniques.
[Mostly based on my personal experience]
➡️खेतीबाड़ी के विषयों पर मेरे नीजि अनुभव के विडिओ
➡️विभिन्न प्रकार की फसलों में कीटरोग नियंत्रण के बारे में जानकारी
➡️विभिन्न प्रकार के कीटनाशकों(insecticides) के बारे में जानकारी
➡️विभिन्न प्रकार के फंफुदीनाशकों(fungicides) के बारे में जानकारी
➡️खेतीबाड़ी के लिए उपयोगी जुगाड़ के वीडियो
➡️ओर्गानिक/नेचुरल/सजीव/जैविक खेती के बारे में जानकारी
➡️विभिन्न प्रकार के मित्र जीवाणु एवं मित्र फंफुद के बारे में जानकारी
★★★★★★★★★★★★★★

For business inquiry
Email :- farmingtech4319@gmail.com",2017-01-01T10:14:18Z,429000,35874391,343,tech influencer
UCV3LhAvsuoRUfv311OecnfQ,The Mobile Indian,"Are you looking for the latest tech news on the latest smartphones from Apple, Samsung, Oppo, Vivo, Realme, Xiaomi or even Google?  Looking for interviews with CEOs of Tech Brands, Smartphone reviews and unboxing, Tip and Tricks?  You are in the right place!

We are team The Mobile Indian and our videos are usually about smartphones, operators, startups, apps, interviews and tech news.  You will also find reviews of bluetooth headphones and speakers as well.  


Site: www.themobileindian.com",2017-06-23T06:55:06Z,101000,13055090,1492,tech influencer
UCxDb8z2KsJTwDTRixbx-Ncg,Kagan,"Kagan is The Nigerian tech and lifestyle content creator, influencer, business man, and key opinion leader. 
His content encompasses new technological advancements, smartphones, tip and tricks and everything in between. 

Email for business enquiries: business@kagan.tech

",2016-11-29T07:36:04Z,48300,9608995,944,tech influencer
UC6fc2iLr5SUHuQQ7N6sKOoA,PennyTV 패니티비,"IT Tech 인플루언서 패니티비입니다. 문의 : mpanny76@gmail.com
PC, 애플, 게임, 사운드 관련 제품, 언박싱, 제품 리뷰하는 전자제품 덕후 패니입니다.
-----------------------------------
패니티비 유튜브 : https://www.youtube.com/@PennyTV
패니티비 블로그 : https://blog.naver.com/kkang6654
패니티비 인플루언서 : https://in.naver.com/pennytv
-----------------------------------
IT Tech influencer PennyTV
Welcome to my channel.
It is a channel that unboxes PC, Apple, and gaming-related products, and deals with product reviews and users.
Sponsors (ETC) E-Mail : mpanny76@gmail.com
YouTube Channel : https://bit.ly/33g1zlK
New Products & Unboxing Folder : https://bit.ly/3l8LJjO
Blog : https://blog.naver.com/kkang6654
",2016-09-06T12:12:29Z,248000,14479399,424,tech influencer
UC9XiLLekVb4fgAY-pQOdYfA,Sid,"Business Person | Lawyer | Founder @the_ragnaor @amara Infinites

Mail: sidfrequency@gmail.com",2024-07-21T15:13:53.892182Z,137000,7362918,33,tech influencer
UCOjW0ERZmVo9fw-2dg4aG2Q,Technik Abi,"Technik Content über Gadgets, Apps und Videospiele! Ehrliche Meinung mit Authentizität und einer extrem starken Community.
Technik Abi ist der beliebteste Technik Influencer und leidenschaftlicher Content Creator.

Impressum, E-Mail und andere Socials:
https://wonderl.ink/@technikabi

",2021-12-02T19:37:26.013298Z,170000,96317314,707,tech influencer
UCp-n-ExSItcS4vzbC-IY71w,OMNITECH,"DIY TECH MODS,REPAIRS, REVIEWS AND HELPFUL GUIDES.

-SUPPORT ME HERE : https://www.buymeacoffee.com/omnitech

 ✔👀-The Amazon links below are affiliate links, as an Amazon Influencer and Affiliate i earn commissions from any qualifying purchases which in return supports this channel, thank you for all your support.

#diy #how #howto #technology #tech #battery #pc 
",2022-06-13T15:57:34.439676Z,45400,6233907,1002,tech influencer
UCBPRoPdUwlrK48Fkrp5Y6fA,EMKWAN REVIEWS,"Tech, Ai and Lifestyle Videos From Dubai. 📲 Subscribe so you don't miss it!

🏆 ""Winner of Esquire Magazine's Digital Influencer Award and AHLAN Magazine's Hot 100.""
🥇 ""One of Dubai’s Leading Video Bloggers"" (Gulf News). 

For business and collaborations email EMKWAN below.",2012-02-10T18:07:01Z,190000,70159965,806,tech influencer
UCzqdILE6sW2gB9HtEmX25IQ,Shak's Hacks,"Hi! 

My name is Shak, I'm from the UK and I'm an influencer.  I'm a full time Computer Engineer but spend most of my spare time discovering new Gadgets. 

My Channel is about:

Latest Gadgets
Speaker reviews
DIY and How to
Teardown
Audio Gear
Bass
Audiophile
Old School Audio Gear

My reviewed Speakers by Brand are below:

JBL
Anker Soundcore
Edifier
SONOS
Bose
Klipsch
Tronsmart
Amazon Speaker
Sony
Ultimate Ears
Marshall
Minirig

Cheerio :o)

#Bluetooth Speakers
#Tech Reviews
#Gadgets
#DIY
",2007-06-11T12:31:25Z,17200,7150365,156,tech influencer
UCuBdjy8v1OWTkbOZcHmCsqQ,Rajvir Singh,"Hey this is Rajvir- Software developer, Influencer and Online Educator 👨‍💻😎. 🚀 Here, we explore the exciting world of Industrial Automation and IIoT (Industrial Internet of Things). We bring you the latest news, tips, and insights on how technology is transforming industries and businesses. 💡

🎥 Join us on our journey as we share fascinating stories, conduct experiments, and demonstrate the power of Industrial Automation and IIoT through our videos. 🎬 👨‍💻 So, whether you're a tech enthusiast, a business owner, or just curious about the future of automation, you've come to the right place. Let's dive in! 💻 In this channel, you will product reviews and educational videos of the latest PLCs, HMIs, Drives, Edge devices, Node-RED, OPC UA, MQTT, Cloud connection etc. 

The following are some of the important links: 
👨‍💻 E-Learning school: https://www.codeandcompile.com/
❤️ Instagram at www.instagram.com/codencompile
😎 LinkedIn: https://www.linkedin.com/in/singhrajvir/

Cheers ✨
Rajvir",2010-04-14T16:26:18Z,117000,10153526,363,tech influencer
UCWvaO5qbph2r5yob1ZGLgfQ,Ferry,"Vi spiego tutta la tecnologia in maniera semplice e veloce, con guide e tutorial adatti a tutti!",2012-11-11T18:06:55Z,215000,42260668,1517,tech influencer
UCXpIVRiyfsMB2aXXn2yq6LA,Digit,"Digit is India's most popular technology media brand across print, online and social media. Since our launch in 2001, Digit has been steadfast in our mission to be Your Technology Navigator. Through our website, social media, magazine and more, we strive to give you all of the information about technology and gadgets that you want and need in order to make better buying decisions. Digit provides test results, information, opinions and advice on what products to buy and how to get the most out of them. 

Digit represents the largest community of technology consumers (buyers and users) in India, and contains several sub-brands that focus on various needs – for example, SKOAR! is a gaming brand for those who ‘Live to Game’, devworx is our developer brand, Digit Squad is our micro influencer community, etc. 


",2005-11-04T23:18:01Z,333000,123233143,5303,tech influencer
UCOl7e7RCMYbdeYnfLhYNWRw,Dope Tech Fever,"Tech News, How-To, and other cool stuff.
We used to be a blog. Now we make videos. 

Other channels: youtube.com/thehopelessgeek

Support the channel through my Amazon affiliate store: 
https://www.amazon.in/shop/influencer-5e733020

Stay subscribed to receive helpful videos with relatively dope cinematography.

Cheers!",2020-01-03T09:04:29.293895Z,5610,2066600,100,tech influencer
UCpDxPj3sm40ISX5hn-TlYcw,Crime Tak,"आज वक़्त के जिस दौर में हम जी रहे हैं उसमें आने वाला पल किस शक्ल में हमारे सामने आएगा कोई नहीं जानता। हां....अगर हम कुछ कर सकते हैं तो सिर्फ़ इतना कि आने वाले पल के क़दमों की आहट को ज़रूर भांप सकते हैं। मगर आने वाले वक़्त की नीयत क्या है ये तभी जाना जा सकता है जब हम अपने आंख और कान खुले रखें। और इसमें CRIME TAK आपकी मदद करेगा। क्राइम की दुनिया की हर छोटी-बड़ी ख़बरों से आपको आगाह करके। ताकि आप सुरक्षित रहें।


Nowadays we are living in such an age, where one does not know what will happen in next moment. In such a scenario what we can do best is to stay aware in each moment. We can prepare for future only if we keep our eyes and ears open. CRIME TAK is here to help and assist you in this regard, by keeping you aware of all crime related incidents/stories, so that you can keep yourself safe.",2018-06-11T08:05:33Z,13000000,5293171718,34619,tech influencer
UCqCfUJlx68rrxTZ4q95SNJQ,Aryan Sadyora,"Hi, My Name Is Aryan Sadyora and I am a technology influencer and make videos like reviews, unboxing, tips and tricks, vlog.
I have a passion for tech and videography so YouTube makes sense for me. I hope you guys enjoy what you see on the channel and encourage you to subscribe.

Hope Your Guys Enjoy My Video
Peace

 MILESTONES
♔10 January 2016 - 100 Subscribers
♔17 August 2016 - 500 Subscribers
♔13 November 2016 - 1000 Subscribers
♔10 February 2018 - 5000 Subscribers",2015-06-06T11:36:21Z,7710,1868822,64,tech influencer
